Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,221.15,-82.3205,180.0,top
C10,100nF,C_0402_1005Metric,225.33,-90.59,180.0,top
C11,"100nF, 16v",C_0402_1005Metric,228.11,-100.14,180.0,top
C2,4.7uF,C_0402_1005Metric,221.15,-81.3305,180.0,top
C3,10nF,C_0402_1005Metric,236.68,-77.12,0.0,top
C4,47pF,C_0402_1005Metric,231.67,-76.41,180.0,top
C5,47pF,C_0402_1005Metric,233.49,-76.41,0.0,top
C6,100nF,C_0402_1005Metric,222.6775,-81.788,90.0,top
C7,100nF,C_0402_1005Metric,229.92,-89.45,0.0,top
C8,100nF,C_0402_1005Metric,229.01,-88.53,0.0,top
C9,"100nF, 16v",C_0402_1005Metric,228.53,-101.13,180.0,top
J1,DE9_Receptacle,CONN9_K31X_KYC,232.63,-106.489849,180.0,top
P1,USB_C_Plug_USB2.0,USB_C_Plug_Molex_105444,232.64,-74.7075,0.0,top
R1,5.1k,R_0402_1005Metric,228.36,-77.39,180.0,top
R4,27R,R_0603_1608Metric,233.33,-78.49,-90.0,top
R5,27R,R_0603_1608Metric,231.85,-78.49,90.0,top
U1,FT231XS,SSOP-20_3.9x8.7mm_P0.635mm,226.85,-83.4175,180.0,top
U2,SP213ECA-L_TR,SOP65P780X200-28N,231.81,-94.72,-90.0,top
