Designator ,Footprint,Mid X,Mid Y,Rotation,TB,Comment
C1,0402C,175.85,-95.46,180,T,0.1uF
C2,0402C,169.44,-92.45,180,T,47pF
C3,0402C,175.75,-127.25,0,T,0.1uF
C4,0402C,171.91,-92.26,0,T,47pF
C5,0402C,173.5,-127,0,T,0.1uF
C6,0402C,177,-102.5,0,T,4.7uF
C7,0402C,177,-101.25,0,T,0.1uF
C8,0402C,177,-100,0,T,0.1uF
C9,0402C,174.75,-114.5,0,T,0.1uF
C10,0402C,178.3,-109.55,270,T,0.1uF
D1,0603L,156.075,-125.25,0,T,RED RX
D2,0603L,156,-123.75,0,T,BLUE TX
D3,0603L,156,-122.25,0,T,GREEN PWR
FB1,BEADC1608X75N,177.615,-94.97,270,T,2A 220 OHM
IC1,SOP65P780X200-28N,170.65,-121.275,90,T,ZT213LEEA
IC2,SOP64P599X175-20N,170.825,-101,90,T,FT231XS-R
P1,USB_C_Plug_Molex_105444,170.5,-85,0,T&B,USB_C_Plug_USB2.0
R1,0402R,166.55,-94.64,180,T,5.1K
R2,0402R,171.56,-94.54,90,T,27k
R3,0402R,170.05,-94.66,270,T,27k
R4,0402R,159.26,-123.75,180,T,470R
R5,0402R,159.25,-122.25,180,T,470R
